key,name,other_names,annotation,notes
quijote,Don Quijote de la Mancha,Alonso Quijano,Nota de alcance sobre el personaje,
alisolan,Alisolán,,Nota de alcance sobre la persona o personaje,
sancho,Sancho Panza,,compañero del Quijote,
don_alvaro,Don Álvaro Tarfe,,Don Álvaro Tarfe,
pedro_alonso,Pedro Alonso,,Pedro Alonso es un vecino labrador de don Quijote,
dorotea,Dorotea,,Dorotea,
san_bernardo,San Bernardo,,Santo,
don_florisbian,Don Florisbian,,Don Florisbian,
aristoteles,Aristóteles,,filósofo,
san_lorenza,San Lorenza,,Santo,
madalena,Madalena,,Madalena acompaña don Quijote y Sancho en sus andanzas,
san_bartolome,San Bartolomé,,Santo,
santa_catalina,Santa Catalina,,Santa,